klub,dzielnica,source,korty_padlowe,nawierzchnie,cena_min,cena_max,cena_srednia,godz_tydzien,godz_weekend,slotow_dzisiaj,oblozenie_pct,address
Toro Padel,Bemowo,kluby_org,,,,,,,,0,,
Loba Padel,Białołęka,playtomic,,,95.0,280.0,188.0,06:00 - 23:00,06:00 - 23:00,16,150.0,03-032
Sporteum,Białołęka,kluby_org,,,,,,,,0,,
Warsaw Padel Club,Białołęka,playtomic,,,50.0,150.0,100.0,06:00 - 01:00,06:00 - 01:00,16,250.0,03-236
Warsaw Padel Club – Squash,Białołęka,playtomic,,,,,,07:00 - 01:00,07:00 - 01:00,0,,03-236
RQT Spot,Bielany,playtomic,,,50.0,100.0,73.0,07:00 - 00:00,07:00 - 00:00,16,200.0,05-080
Interpadel Warszawa,Mokotów,playtomic,,,50.0,65.0,58.0,06:00 - 02:00,06:00 - 02:00,14,100.0,02-690
WKT Mera,Ochota,kluby_org,,,,,,,,0,,
Rakiety PGE Narodowy,Praga Południe,playtomic,,,60.0,260.0,145.0,07:00 - 23:00,07:00 - 23:00,16,250.0,03-901
DECATHLON Targówek,Targówek,kluby_org,,,,,,,,0,,
TENES Klub Sportowy,Ursus,kluby_org,,,,,,,,0,,
Padlovnia,Ursynów,kluby_org,,,,,,,,0,,
San Padel,Ursynów,playtomic,,,,,,00:00 - 00:00,00:00 - 00:00,0,,05-500
Klub Miedzeszyn,Wawer,kluby_org,,,,,,,,0,,
Rakiety Aero,Wawer,kluby_org,,,,,,,,0,,
Rakiety Aero Padel Outdoor,Wawer,playtomic,,,,,,08:00 - 21:30,08:00 - 21:30,0,,03-994
Happy Padel,Wesoła,kluby_org,,,,,,,,0,,
Mana Padel,Wilanów,kluby_org,,,,,,,,0,,
Sinus Sport Club,Wilanów,kluby_org,,,,,,,,0,,
TenisWil,Wilanów,kluby_org,,,,,,,,0,,
ProPadel Jutrzenki,Włochy,kluby_org,,,,,,,,0,,
Padel4All Bulwary,Śródmieście,kluby_org,,,,,,,,0,,
