klub,dzielnica,source,kort,nawierzchnia,slot_date,day_of_week,typ_dnia,godzina,minuta,pora_dnia,wolny,booking_start,booking_end
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,2026-05-31,Sunday,weekend,9,30,rano (6-10),1,,
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,2026-05-31,Sunday,weekend,10,0,poludnie (10-14),1,,
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,2026-05-31,Sunday,weekend,10,30,poludnie (10-14),1,,
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,2026-05-31,Sunday,weekend,11,0,poludnie (10-14),1,,
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,2026-05-31,Sunday,weekend,11,30,poludnie (10-14),1,,
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,2026-05-31,Sunday,weekend,12,0,poludnie (10-14),1,,
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,2026-05-31,Sunday,weekend,12,30,poludnie (10-14),1,,
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,2026-05-31,Sunday,weekend,13,0,poludnie (10-14),1,,
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,2026-05-31,Sunday,weekend,13,30,poludnie (10-14),1,,
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,2026-05-31,Sunday,weekend,14,0,popoludnie (14-18),1,,
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,2026-05-31,Sunday,weekend,14,30,popoludnie (14-18),1,,
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,2026-05-31,Sunday,weekend,15,0,popoludnie (14-18),1,,
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,2026-05-31,Sunday,weekend,15,30,popoludnie (14-18),1,,
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,2026-05-31,Sunday,weekend,16,0,popoludnie (14-18),1,,
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,2026-05-31,Sunday,weekend,16,30,popoludnie (14-18),1,,
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,2026-05-31,Sunday,weekend,17,0,popoludnie (14-18),1,,
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,2026-05-31,Sunday,weekend,17,30,popoludnie (14-18),1,,
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,2026-05-31,Sunday,weekend,18,0,wieczor (18-22),0,18:00,20:00
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,2026-05-31,Sunday,weekend,18,30,wieczor (18-22),1,,
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,2026-05-31,Sunday,weekend,19,0,wieczor (18-22),1,,
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,2026-05-31,Sunday,weekend,19,30,wieczor (18-22),1,,
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,2026-05-31,Sunday,weekend,20,0,wieczor (18-22),1,,
Klub Miedzeszyn,Wawer,kluby_org,"kort 1P
 PADEL HALA",indoor,2026-05-31,Sunday,weekend,20,30,wieczor (18-22),0,20:30,22:00
Loba Padel,Białołęka,playtomic,,,2026-05-31,Sunday,weekend,5,0,noc,0,,
Loba Padel,Białołęka,playtomic,,,2026-05-31,Sunday,weekend,5,0,noc,1,,
Loba Padel,Białołęka,playtomic,,,2026-05-31,Sunday,weekend,5,0,noc,0,,
Loba Padel,Białołęka,playtomic,,,2026-05-31,Sunday,weekend,5,0,noc,1,,
Loba Padel,Białołęka,playtomic,,,2026-05-31,Sunday,weekend,8,0,rano (6-10),0,,
Loba Padel,Białołęka,playtomic,,,2026-05-31,Sunday,weekend,8,0,rano (6-10),1,,
Loba Padel,Białołęka,playtomic,,,2026-05-31,Sunday,weekend,10,0,poludnie (10-14),0,,
Loba Padel,Białołęka,playtomic,,,2026-05-31,Sunday,weekend,10,0,poludnie (10-14),1,,
Loba Padel,Białołęka,playtomic,,,2026-05-31,Sunday,weekend,11,0,poludnie (10-14),0,,
Loba Padel,Białołęka,playtomic,,,2026-05-31,Sunday,weekend,11,0,poludnie (10-14),1,,
Loba Padel,Białołęka,playtomic,,,2026-05-31,Sunday,weekend,13,0,poludnie (10-14),0,,
Loba Padel,Białołęka,playtomic,,,2026-05-31,Sunday,weekend,13,0,poludnie (10-14),1,,
Loba Padel,Białołęka,playtomic,,,2026-05-31,Sunday,weekend,15,0,popoludnie (14-18),0,,
