klub,dzielnica,source,korty_padlowe,nawierzchnie,cena_min,cena_max,cena_srednia,godz_tydzien,godz_weekend,slotow_dzisiaj,oblozenie_pct,address
Toro Padel,Bemowo,kluby_org,6,indoor,,,,,,118,167.8,ul. Kazubów 14 (Bemowo)
Loba Padel,Białołęka,playtomic,,,95.0,280.0,188.0,06:00 - 23:00,06:00 - 23:00,16,100.0,03-032
Sporteum,Białołęka,kluby_org,2,indoor,,,,,,24,58.3,ul. Zawiślańska 27 (Białołęka)
Warsaw Padel Club,Białołęka,playtomic,,,65.0,105.0,91.0,06:00 - 01:00,06:00 - 01:00,16,200.0,03-236
Warsaw Padel Club – Squash,Białołęka,playtomic,,,,,,07:00 - 01:00,07:00 - 01:00,0,,03-236
RQT Spot,Bielany,playtomic,,,50.0,100.0,73.0,07:00 - 00:00,07:00 - 00:00,16,200.0,05-080
Interpadel Warszawa,Mokotów,playtomic,,,50.0,250.0,122.0,06:00 - 02:00,06:00 - 02:00,14,150.0,02-690
WKT Mera,Ochota,kluby_org,2,indoor,,,,,,34,100.0,al. Bohaterów Września 12 (Ochota)
Rakiety PGE Narodowy,Praga Południe,playtomic,,,60.0,260.0,138.0,07:00 - 23:00,07:00 - 23:00,16,300.0,03-901
DECATHLON Targówek,Targówek,kluby_org,1,indoor,,,,,,0,,ul. Geodezyjna 76 (Targówek)
TENES Klub Sportowy,Ursus,kluby_org,3,indoor,,,,,,74,81.1,ul. Piwna 13 (Ursus)
Padlovnia,Ursynów,kluby_org,7,indoor,,,,,,148,208.1,ul. Karnawał 8 (Ursynów)
San Padel,Ursynów,playtomic,,,120.0,120.0,120.0,00:00 - 00:00,00:00 - 00:00,2,50.0,05-500
Klub Miedzeszyn,Wawer,kluby_org,2,indoor,,,,,,51,11.8,ul. Bielika 17 (Wawer)
Rakiety Aero,Wawer,kluby_org,1,indoor,,,,,,0,,
Rakiety Aero Padel Outdoor,Wawer,playtomic,,,,,,08:00 - 21:30,08:00 - 21:30,0,,03-994
Happy Padel,Wesoła,kluby_org,1,indoor,,,,,,0,,
Mana Padel,Wilanów,kluby_org,8,indoor,,,,,,135,290.4,ul. Zawodzie 24 (Wilanów)
Sinus Sport Club,Wilanów,kluby_org,1,indoor,,,,,,0,,ul. Wał Zawadowski 99 (Wilanów)
TenisWil,Wilanów,kluby_org,3,outdoor,,,,,,48,112.5,ul. Przyczółkowa 210C (Wilanów)
ProPadel Jutrzenki,Włochy,kluby_org,5,indoor,,,,,,180,0.0,ul. Jutrzenki 12 (Włochy)
Padel4All Bulwary,Śródmieście,kluby_org,1,indoor,,,,,,32,0.0,
