klub,dzielnica,source,kort,nawierzchnia,pora_dnia,typ_dnia,slotow,zajete,wolne,oblozenie_pct
Interpadel Warszawa,Mokotów,playtomic, kort 1,indoor,rano (6-10),weekend,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic, kort 1,indoor,poludnie (10-14),weekend,10,10,0,100.0
Interpadel Warszawa,Mokotów,playtomic, kort 1,indoor,popoludnie (14-18),weekend,10,9,1,90.0
Interpadel Warszawa,Mokotów,playtomic, kort 1,indoor,wieczor (18-22),weekend,10,5,5,50.0
Interpadel Warszawa,Mokotów,playtomic, kort 1,indoor,noc,weekend,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,AQUA Carpatica kort 3,indoor,rano (6-10),weekend,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,AQUA Carpatica kort 3,indoor,poludnie (10-14),weekend,10,10,0,100.0
Interpadel Warszawa,Mokotów,playtomic,AQUA Carpatica kort 3,indoor,popoludnie (14-18),weekend,10,8,2,80.0
Interpadel Warszawa,Mokotów,playtomic,AQUA Carpatica kort 3,indoor,wieczor (18-22),weekend,10,6,4,60.0
Interpadel Warszawa,Mokotów,playtomic,AQUA Carpatica kort 3,indoor,noc,weekend,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,BMW Bawaria Motors kort 10 Singiel,indoor,rano (6-10),weekend,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,BMW Bawaria Motors kort 10 Singiel,indoor,poludnie (10-14),weekend,10,10,0,100.0
Interpadel Warszawa,Mokotów,playtomic,BMW Bawaria Motors kort 10 Singiel,indoor,popoludnie (14-18),weekend,10,10,0,100.0
Interpadel Warszawa,Mokotów,playtomic,BMW Bawaria Motors kort 10 Singiel,indoor,wieczor (18-22),weekend,10,9,1,90.0
Interpadel Warszawa,Mokotów,playtomic,BMW Bawaria Motors kort 10 Singiel,indoor,noc,weekend,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,BMW Bawaria Motors kort 2,indoor,rano (6-10),weekend,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,BMW Bawaria Motors kort 2,indoor,poludnie (10-14),weekend,10,9,1,90.0
Interpadel Warszawa,Mokotów,playtomic,BMW Bawaria Motors kort 2,indoor,popoludnie (14-18),weekend,10,8,2,80.0
Interpadel Warszawa,Mokotów,playtomic,BMW Bawaria Motors kort 2,indoor,wieczor (18-22),weekend,10,9,1,90.0
Interpadel Warszawa,Mokotów,playtomic,BMW Bawaria Motors kort 2,indoor,noc,weekend,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,rano (6-10),weekend,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,poludnie (10-14),weekend,10,10,0,100.0
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,popoludnie (14-18),weekend,10,10,0,100.0
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,wieczor (18-22),weekend,10,7,3,70.0
Interpadel Warszawa,Mokotów,playtomic,OSHEE kort 5,indoor,noc,weekend,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,RECMAN kort 8,indoor,rano (6-10),weekend,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,RECMAN kort 8,indoor,poludnie (10-14),weekend,10,10,0,100.0
Interpadel Warszawa,Mokotów,playtomic,RECMAN kort 8,indoor,popoludnie (14-18),weekend,10,7,3,70.0
Interpadel Warszawa,Mokotów,playtomic,RECMAN kort 8,indoor,wieczor (18-22),weekend,10,10,0,100.0
Interpadel Warszawa,Mokotów,playtomic,RECMAN kort 8,indoor,noc,weekend,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,TRUE kort 7,indoor,rano (6-10),weekend,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,TRUE kort 7,indoor,poludnie (10-14),weekend,10,10,0,100.0
Interpadel Warszawa,Mokotów,playtomic,TRUE kort 7,indoor,popoludnie (14-18),weekend,10,8,2,80.0
Interpadel Warszawa,Mokotów,playtomic,TRUE kort 7,indoor,wieczor (18-22),weekend,10,10,0,100.0
Interpadel Warszawa,Mokotów,playtomic,TRUE kort 7,indoor,noc,weekend,4,4,0,100.0
Interpadel Warszawa,Mokotów,playtomic,WAAY kort 9,indoor,rano (6-10),weekend,4,4,0,100.0
